trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,2,-226.16030994440172,"{0: 11, 1: 0, 2: 8, 3: 0, 4: 4}",1
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-200.06019612447716,"{0: 11, 1: 0, 2: 5, 3: 0, 4: 4}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",35,0,-158.9758418124912,"{0: 24, 1: 0, 2: 8, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,9,-62.60515045135862,"{0: 11, 1: 0, 2: 4, 3: 0, 4: 1}",1
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,14,-14.770319533427848,"{0: 4, 1: 0, 2: 2, 3: 0, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,10,-27.3646745116281,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",1
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-54.641012359691665,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,0,-106.08311662840525,"{0: 26, 1: 0, 2: 1, 3: 0, 4: 3}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",35,0,-224.3931040088017,"{0: 26, 1: 0, 2: 3, 3: 1, 4: 5}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-32.92716588629142,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-122.54462356133574,"{0: 18, 1: 0, 2: 4, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-157.04703998882493,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 3}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-36.58588859667926,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-18.783738008533867,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-10.711839321836301,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,20.876173744800024,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",30,4,-17.807323493959224,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,3,-10.349613996329715,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,1.7244163061154436,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",30,20,14.724224740264818,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,0,-185.0604435451283,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 5}",0
2,True,"{'a': 0, 'e': 0}",20,0,-33.588127379998205,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
3,True,"{'a': 0, 'e': 0}",25,7,26.389626388970036,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,0,24.791865763578322,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",25,0,36.33857093228114,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",30,0,-63.65409461743139,"{0: 25, 1: 0, 2: 3, 3: 1, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",20,0,-14.66704521399175,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",25,0,6.154461967692539,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",20,0,-84.2159298385655,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 2}",0
10,True,"{'a': 0, 'e': 0}",30,0,-42.115091682527215,"{0: 27, 1: 0, 2: 1, 3: 1, 4: 1}",0
