trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.96496109511981765}",30,0,-144.14980502437902,"{0: 22, 1: 0, 2: 5, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.93114991509483769}",25,0,-61.3426928329001,"{0: 19, 1: 0, 2: 4, 3: 2, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.8985234417906397}",20,0,-9.06831658123744,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.86704016438112341}",20,14,13.795525275772773,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,False,"{'a': 0.5, 'e': 0.83666002653407556}",25,0,-11.309577313841544,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.8073443754472972}",20,4,30.66815412794371,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,False,"{'a': 0.5, 'e': 0.77905591267044905}",30,0,43.42882088131624,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.75175864665004555}",30,0,24.33131572743144,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.72541784693721989}",30,15,22.678565659059448,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.69999999999999996}",25,16,17.511733321745016,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.67547276658387223}",20,0,28.569625738182047,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.65180494056638638}",20,13,13.595650436921417,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.62896640925344782}",20,13,12.680067843312607,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.60692811506678634}",20,16,6.372873391830186,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.58566201857385281}",35,0,50.88941938320944,"{0: 35, 1: 0, 2: 0, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.56514106281310794}",35,11,8.316092155214308,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.54533913886931429}",20,0,27.466556111691744,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.52623105265503178}",30,18,22.074121941650606,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.50779249285605388}",30,12,-7.563220546521566,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.48999999999999994}",25,11,31.355145660108615,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
21,False,"{'a': 0.5, 'e': 0.47283093660871056}",25,2,31.490638456628098,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
