trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-290.21336132083707,"{0: 14, 1: 4, 2: 5, 3: 2, 4: 5}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-86.15382233356502,"{0: 12, 1: 2, 2: 3, 3: 3, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-106.772262611338,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",30,0,-54.49233618154265,"{0: 19, 1: 8, 2: 3, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-63.91931688919208,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-58.63559872740801,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",30,8,-127.69141670747504,"{0: 13, 1: 0, 2: 5, 3: 3, 4: 1}",1
8,False,"{'a': 0.5, 'e': 1.0}",20,8,-2.70299790603156,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 1.0}",20,15,-13.107696600795858,"{0: 4, 1: 0, 2: 0, 3: 1, 4: 0}",1
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-116.14834793429858,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-163.7078815945563,"{0: 13, 1: 3, 2: 5, 3: 2, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,6,-44.87014030355008,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-219.28638272708432,"{0: 12, 1: 1, 2: 7, 3: 2, 4: 3}",0
14,False,"{'a': 0.5, 'e': 1.0}",30,0,-146.16094645628039,"{0: 20, 1: 3, 2: 3, 3: 2, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-84.67782827441073,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-80.05431022977776,"{0: 11, 1: 3, 2: 4, 3: 2, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",30,16,-24.4686645057425,"{0: 9, 1: 2, 2: 3, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-140.3285727813632,"{0: 13, 1: 1, 2: 9, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-149.4564309553358,"{0: 13, 1: 4, 2: 5, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",35,0,-156.4102102034501,"{0: 18, 1: 3, 2: 11, 3: 3, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-81.88512731822279,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-171.7219980672898,"{0: 9, 1: 1, 2: 6, 3: 2, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",30,0,-173.34294941309932,"{0: 19, 1: 1, 2: 7, 3: 0, 4: 3}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-159.59932821785364,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 3}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-121.3383137212285,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-54.11981854707864,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-94.56935444549238,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",30,0,-245.44182788372993,"{0: 13, 1: 3, 2: 9, 3: 2, 4: 3}",0
9,True,"{'a': 0.5, 'e': 1.0}",30,0,-145.9911420532766,"{0: 17, 1: 4, 2: 6, 3: 2, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",30,0,-162.93375443608033,"{0: 19, 1: 3, 2: 5, 3: 0, 4: 3}",0
